id,timestamp,direction,src_ip,dst_ip,src_port,dst_port,protocol,src_mac,dst_mac,iface,packet_len,ip_ttl,ip_tos,tcp_flags,dns_qname,dns_answer_ip,tls_sni,ndpi_master_proto,ndpi_app_proto,ndpi_category,dst_geo_country,dst_geo_city,decision_action,decision_rule_id
7081,2025-12-07T15:07:46.855939,outbound,10.20.0.110,142.250.109.207,53940,443,tcp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,1648,64,,,,,storage.googleapis.com,TLS,GoogleServices,Web,US,,allow,
7082,2025-12-07T15:07:46.859661,outbound,10.20.0.190,10.20.0.1,55798,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,99,64,,,,,,Unknown,DNS,Network,,,allow,
7083,2025-12-07T15:07:46.862975,inbound,142.250.109.207,10.20.0.110,443,53940,tcp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,1304,123,,,,,,TLS,Google,Web,,,allow,
7084,2025-12-07T15:07:46.865136,outbound,10.20.0.1,10.20.0.190,53,55798,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,162,64,,,,,,Unknown,DNS,Network,,,allow,
7085,2025-12-07T15:07:46.867568,outbound,10.20.0.190,10.20.0.1,53149,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,98,64,,,,,,Unknown,DNS,Network,,,allow,
7086,2025-12-07T15:07:46.870057,outbound,10.20.0.1,10.20.0.190,53,53149,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,161,64,,,,,,Unknown,DNS,Network,,,allow,
7087,2025-12-07T15:07:46.872413,outbound,10.20.0.190,10.20.0.1,57711,53,udp,bc:24:11:cc:c4:d0,bc:24:11:e4:6f:c6,,104,64,,,,,,Unknown,DNS,Network,,,allow,
7088,2025-12-07T15:07:46.875077,outbound,10.20.0.1,10.20.0.190,53,57711,udp,bc:24:11:e4:6f:c6,bc:24:11:cc:c4:d0,,168,64,,,,,,Unknown,DNS,Network,,,allow,
7089,2025-12-07T15:07:46.877314,outbound,10.20.0.164,10.20.0.1,41074,53,udp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,71,64,,,,,,Unknown,DNS,Network,,,allow,
7090,2025-12-07T15:07:46.879635,outbound,10.20.0.1,10.20.0.164,53,41074,udp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,167,64,,,,,,Unknown,DNS,Network,,,allow,
